,city,cloudiness,humidity,latitude,longitude,max_temperature,wind_speed,country,datetime
326,abyek,0,25,36.07,50.55,80.6,9.17,IR,1595302341
327,nouadhibou,39,83,20.93,-17.03,73.4,3.0,MR,1595302342
328,touros,75,100,-5.2,-35.46,71.6,4.7,BR,1595302342
329,rosetta,20,78,31.4,30.42,77.0,9.17,EG,1595302342
330,vardo,75,100,70.37,31.11,57.2,8.05,NO,1595302342
331,marseille,40,82,43.33,5.5,71.01,3.36,FR,1595302092
332,carbonia,0,88,39.17,8.52,69.8,5.82,IT,1595302342
333,port moresby,40,70,-9.44,147.18,86.0,17.22,PG,1595302161
334,payo,97,55,-3.75,103.64,88.32,4.7,ID,1595302342
335,chippewa falls,1,77,44.94,-91.39,66.99,2.84,US,1595302343
336,hokitika,98,79,-42.72,170.97,52.81,10.92,NZ,1595302213
337,marsh harbour,84,78,26.54,-77.06,82.87,15.97,BS,1595302117
338,kambar,24,31,27.59,68.0,104.11,5.99,PK,1595302343
339,dong hoi,100,57,17.48,106.6,91.49,11.25,VN,1595302343
340,vestmanna,39,100,62.16,-7.17,46.4,2.24,FO,1595302343
341,hanyang,100,96,32.14,105.51,64.44,3.87,CN,1595302344
342,vilhena,21,55,-12.74,-60.15,68.0,2.46,BR,1595302344
343,ulaangom,100,50,49.98,92.07,74.7,4.9,MN,1595302344
344,asfi,34,85,32.3,-9.24,68.67,7.09,MA,1595302344
345,luena,0,74,-11.78,19.92,46.54,3.87,AO,1595302344
346,kavaratti,75,83,10.57,72.64,82.4,11.41,IN,1595302085
347,ketchikan,90,100,55.34,-131.65,59.0,9.17,US,1595302344
348,masuda,75,94,34.67,131.85,78.8,8.05,JP,1595302344
349,fort nelson,75,72,58.81,-122.7,66.2,5.82,CA,1595302131
350,shelburne,1,82,44.08,-80.2,60.8,2.24,CA,1595302345
351,maltahohe,0,64,-24.83,16.98,41.02,3.87,NA,1595302345
352,mount isa,94,23,-20.73,139.5,77.0,9.17,AU,1595302345
353,iskar,5,87,43.45,24.27,59.0,6.93,BG,1595302345
354,phangnga,20,70,8.45,98.53,87.8,2.24,TH,1595302260
355,quijingue,69,98,-10.75,-39.21,62.8,3.18,BR,1595302345
356,qaanaaq,38,71,77.48,-69.36,45.37,1.48,GL,1595302345
357,alcanena,100,68,39.46,-8.67,73.0,2.57,PT,1595302345
358,te anau,95,86,-45.42,167.72,45.05,9.1,NZ,1595302346
359,sidi ali,10,37,36.1,0.42,79.45,6.58,DZ,1595302346
360,castanhal,40,94,-1.29,-47.93,75.2,4.7,BR,1595302346
361,kaputa,50,63,-8.47,29.66,63.01,5.1,ZM,1595302347
362,lufkin,1,83,31.34,-94.73,79.0,5.82,US,1595302226
363,esso,97,57,55.93,158.7,55.6,9.98,RU,1595302347
364,yumen,100,22,40.28,97.2,83.14,14.16,CN,1595302347
365,termiz,0,32,37.22,67.28,84.2,2.24,UZ,1595302347
366,khingansk,0,39,49.12,131.18,79.2,7.92,RU,1595302347
367,tisul,100,85,55.76,88.31,66.07,5.91,RU,1595302347
368,byron bay,100,52,-28.65,153.62,66.2,14.99,AU,1595302204
369,sapernoye,87,87,60.72,29.95,64.0,2.44,RU,1595302348
370,gravdal,96,72,68.12,13.5,53.38,2.64,NO,1595302348
371,worms,64,74,49.64,8.36,63.0,4.0,DE,1595302348
372,itoman,40,88,26.12,127.67,89.01,8.05,JP,1595302348
373,praia da vitoria,75,73,38.73,-27.07,69.8,3.85,PT,1595302348
374,santa rosa,27,66,14.31,121.11,91.0,10.29,PH,1595302348
375,ahuimanu,75,62,21.44,-157.84,86.0,12.75,US,1595302348
376,kenai,1,59,60.55,-151.26,66.2,17.22,US,1595302349
377,kyra,91,46,49.58,111.98,71.42,6.44,RU,1595302349
378,comodoro rivadavia,40,86,-45.87,-67.5,39.2,6.93,AR,1595302201
379,codrington,66,75,-38.27,141.97,53.91,10.36,AU,1595302349
380,coahuayana,40,78,18.73,-103.68,78.8,6.93,MX,1595302349
381,constitucion,99,88,-35.33,-72.42,51.49,12.82,CL,1595302349
382,xianyang,90,78,34.34,108.7,77.0,8.95,CN,1595302349
383,kearney,1,88,40.7,-99.08,75.2,10.29,US,1595302068
384,mendota,1,42,36.75,-120.38,86.0,8.05,US,1595302350
